Số báo danh,ID,Sinh học,Toán,Tên môn ngoại ngữ,Hóa,Văn,Địa,Mã môn ngoại ngữ,Sử,Giáo dục công dân,Lý
38000004,919676,,7.6,6.4,,7,8.5,N1,6.5,8.5,
38000002,919677,,6.2,4,,8,9,N1,8.5,9,
38000001,914291,,3.2,,,5,6,,3.5,,
38000003,913719,7.25,8,4.8,7.5,7.25,,N1,,,7.5
38000007,919678,,5,3.8,,7.25,7.75,N1,7,9,
38000006,914292,,3.2,,,3.75,5.25,,6.5,,
38000008,921417,4.5,7,5,7.25,4.25,,N1,,,6.25
38000009,919679,,6.2,,,5.75,7,,6,,
38000005,926627,,7,5,,8,8.25,N1,6.25,8.75,
38000015,919681,,2.8,,,4.5,4.75,,4.5,,
38000010,926650,,4.4,,,4.25,6,,5.5,,
38000012,919680,,6,4,,6.5,7.5,N1,6.25,8,
38000014,913720,,5.6,3.4,,5.25,6.25,N1,3.5,6.25,
38000011,921413,8.25,8.2,4.2,8.5,8.5,,N1,,,8
38000013,921418,5,7,6.8,5,5.75,,N1,,,5.5
38000016,914298,,2,,,5.25,8.75,,7.25,,
38000019,921422,7.75,6.8,6.6,7.5,9.25,,N1,,,6.25
38000018,926648,,4.4,4.8,,7,6.5,N1,5.75,7.25,
38000017,919682,,3.4,,,6,5.25,,4.5,,
38000020,919683,,6.2,5.2,,7.5,7.5,N1,7.25,8.75,
38000023,919684,,3.6,3.8,,7.25,6.5,N1,5.75,8.5,
38000029,926649,,4,,,2.75,5.5,,6,,
38000028,919686,,5,,,5.75,4.75,,4,,
38000024,924955,,7,4.8,,8.5,8.5,N1,8.25,8.5,
38000021,921414,5.5,6.6,4,5,4.5,,N1,,,7
38000025,926652,,6,4.6,,7.5,8.75,N1,8.5,9,
38000026,919685,,6,5.6,,6.5,6.75,N1,6.75,7.75,
38000022,926651,,4,,,4.5,6.5,,3,,
38000027,926653,,2.8,,,5,3.75,,4.5,,
38000030,932920,5.75,8.6,8.8,6,7.25,,N1,,,8.75
38000031,926654,,6,5,,5.5,9,N1,8.25,8.75,
38000032,919687,4.75,6.4,4.4,5.75,5.5,,N1,,,4.25
38000033,928380,,5.6,4.4,,7.75,8.25,N1,7.25,9.25,
38000037,928381,,3.4,,,3.75,5.25,,5.5,,
38000039,919612,,5,5,,6.75,6.75,N1,7.75,8.75,
38000034,920643,9,7.6,5.6,8,7.5,,N1,,,8
38000038,924956,7.25,7.6,5.6,8.75,8.5,,N1,,,5.75
38000035,921419,8,6.2,5,7,7.5,,N1,,,2.75
38000040,926655,,2.4,,,4.75,5.5,,5.25,,
38000036,919611,5.5,7.2,7.2,6.5,6.75,,N1,,,6.75
38000041,919613,,4,4,,7,5.75,N1,5.25,9.25,
38000042,926660,,5,4.6,,7.25,8,N1,7.75,9,
38000045,926656,,5.4,5.4,,6,7.25,N1,6,7.5,
38000048,926657,,7.4,6,,9,9.75,N1,9,9.5,
38000043,911803,,4.8,5.6,,8.75,8.5,N1,8.25,9.25,
38000044,919614,,3.2,,,2.75,3,,5,,
38000047,919615,,5.6,4,,7.25,8,N1,6.5,7.25,
38000049,919616,,2,,,3.25,3.5,,3.25,,
38000050,926661,,5.6,5,,7.5,8.25,N1,7.5,9.5,
38000046,924957,,5.6,4.8,,8.25,9,N1,6.75,8,
38000051,913718,7.5,6.8,5.6,6.75,9.25,,N1,,,7
38000052,919617,,4.8,3.4,,6,5.75,N1,6.75,7.75,
38000055,919618,,4.4,,,4.5,5.25,,5.25,,
38000057,919619,8,5.8,5,7.25,8.25,,N1,,,5.5
38000054,911804,,6.2,,,3.75,8,,7.5,,
38000061,926662,,4.8,4.4,,7,8.75,N1,6.25,8.75,
38000062,919621,5.5,6.6,4.6,8,7,,N1,,,8
38000056,926658,,6.6,4.2,,8.75,9.25,N1,8.75,9.25,
38000059,925878,,6.4,4.8,,7.25,8.5,N1,7.75,8.75,
38000058,911805,,7.2,5.4,,8.25,8,N1,6.75,8.75,
38000060,919620,,4.6,,,4.25,5,,5.5,,
38000053,928382,,1.4,,,3.75,4.25,,4,,
38000063,921415,7.5,7.2,4.6,6.25,7.75,,N1,,,6
38000069,921423,4.75,5.8,4.8,3.75,6,,N1,,,5
38000064,926659,,5,3.6,,6,7,N1,6,8.25,
38000065,928383,,4.6,3.8,,7,7,N1,6,6.25,
38000071,919623,8,8.2,6.4,7,7.25,,N1,,,8.25
38000066,919622,8.25,7.6,6.8,8.25,6,,N1,,,8.25
38000068,926663,,6.4,,,6.25,6.75,,7.5,,
38000070,936443,,4.6,,,6.5,7.5,,5.5,,
38000067,925879,,3.2,,,5.25,5.5,,4.25,,
38000072,914092,,6.2,4,,7.5,7.5,N1,7.75,8.5,
38000073,926691,,3,,,4.75,6.5,,4.25,,
38000074,914093,,7.4,6.8,,8.25,9,N1,8.5,9.75,
38000075,921420,5,6,4.8,7,7.25,,N1,,,7
38000076,926664,,4.4,,,4,6.75,,7.5,,
38000077,926696,,6.8,4.6,,6.83,7,N1,5,7,
38000081,928384,7,7.4,4.6,7.25,7.25,,N1,,,6
38000080,926692,,4,,,6.75,5,,5.75,,
38000078,913737,6.5,8,,6.5,6.5,,,,,6.75
38000079,919624,,8.2,6,,9,8.75,N1,7.5,10,
38000082,925880,,4.6,,,4.75,5.5,,5,,
38000083,921421,7,6.6,,6.25,6,,,,,5.5
38000084,919625,,2.6,,,3,5,,3.25,,
38000085,921416,5,6.8,4.2,6.5,8.5,,N1,,,7.75
38000089,928385,,5.2,4,,6.5,8.5,N1,6,8.75,
38000094,917168,7.5,7.8,8.8,6.25,6.75,,N1,,,7.75
38000093,926694,,5,,,6.5,6.25,,6.5,,
38000092,919627,,5.2,4.2,,6.5,6,N1,5,9,
38000086,926693,,4.2,,,6,6,,4.75,,
38000087,919626,,6,5.6,,8,9,N1,8,9.25,
38000090,921430,7.75,7.4,6.6,7.5,9,,N1,,,8
38000088,926697,,5.8,4.4,,8,8,N1,8,8.75,
38000091,913738,8.25,8.2,5.8,7,8.5,,N1,,,5.25
38000095,914209,,5,,,6.25,8.75,,6.5,,
38000096,921424,5,7.6,8.4,8.25,7,,N1,,,5.25
38000097,919628,5,6.4,6.8,4.75,7.75,,N1,,,5.25
38000099,914210,,2.6,,,5,6.75,,5.25,,
38000098,921431,5.25,7.6,4.6,3.5,6.5,,N1,,,5
38000100,919629,8,7.2,8.6,5.5,9.25,,N1,,,5.5
38000105,919630,7,8.8,5.8,9.75,7,,N1,,,9
38000104,921425,6.5,6.6,5.6,7,8.25,,N1,,,6.25
38000102,926690,,6.6,5.2,,8.5,9.5,N1,9.5,9.5,
38000107,926617,5.75,7.4,3.6,8,7.25,,N1,,,7.25
38000101,926616,,6,4.6,,6.75,7,N1,8,9.25,
38000103,926695,,3.2,,,5.25,3.75,,4.25,,
38000106,926704,,5,4.6,,6.25,5.75,N1,4,7.5,
38000108,919631,,4.4,4,,7,6.75,N1,6.75,8.5,
38000109,926618,5,7,8,4.25,8,,N1,,,5.75
38000110,926700,,3.2,,,5,5,,3.5,,
38000111,914211,,2.8,,,4,6,,3.5,,
38000116,911806,,3,,,4.5,5.25,,2.75,,
38000113,919632,,2.6,,,2.5,2.25,,3.25,,
38000117,926702,,6,,,4,6.75,,4.75,,
38000115,926619,,5.4,3.2,,6.75,6,N1,6,9,
38000114,926698,,6.8,4.6,,8.25,8.75,N1,7.75,9.25,
38000112,926701,,5.6,3.2,,7.5,7.25,N1,5,8.25,
38000118,919633,,3.8,,,4.75,6.25,,5.75,,
38000119,926699,,,4,,8,9.25,N1,9,,
38000120,914212,,2.8,,,2,5,,5.5,,
38000121,928386,,5.4,4,,9.25,9.75,N1,9,8.75,
38000122,919634,,6.8,3.4,,6,9,N1,9,8.75,
38000125,926703,,2,,,4,3.5,,4.25,,
38000124,926620,,7,4.4,,6.5,8.75,N1,7.5,8.25,
38000126,921389,,5,,,6.25,6.5,,7,,
38000123,913540,,6.8,5.2,,6.5,8,N1,9,9,
38000127,919635,4.75,8,7.6,3.75,4.5,,N1,,,7.25
38000130,921392,,5,4.2,,7.5,7,N1,7,8.75,
38000129,921391,,6.8,5,,9,8.5,N1,7.5,9.5,
38000128,921390,6.5,6.4,6.2,5.75,9,,N1,,,5.75
38000131,921393,,6,5.4,,8,7.5,N1,7.75,9,
38000132,919636,,6.4,5.8,,6.25,4.25,N1,6.25,,
38000134,914140,,6.2,6.2,,7.5,9,N1,9,9.25,
38000133,913541,,6.2,7.8,,7.75,9,N1,8.5,9.25,
38000135,919637,7.5,8.2,8,7.25,8,,N1,,,6.75
38000136,928389,,2.2,,,4,2.75,,4.25,,
38000137,925945,,4.6,,,4.25,6,,5.25,,
38000138,926705,,3.6,,,4,5.25,,3.75,,
38000140,919638,,5,,,1.25,3.75,,5,,
38000139,921394,7,9,5.8,9,8,,N1,,,9.5
38000141,936444,,2.6,,,3.5,5.75,,6.25,,
38000143,921428,7.75,6.4,4.4,7.5,5.75,,N1,,,4.5
38000146,919639,,6,3.8,,7,5.5,N1,5,8.25,
38000144,920646,,5.8,5.2,,7,8.75,N1,7.75,8.5,
38000145,926621,,5.2,4.8,,7.33,8.25,N1,6.75,8.75,
38000148,919640,,2.8,,,2.75,7.5,,6.5,,
38000149,936445,,3.8,,,3,5.75,,3.75,,
38000147,925946,,5.2,,,4,5.75,,4.5,,
38000150,928390,,6.4,5,,7.75,8.5,N1,7.5,9,
38000152,921395,,4.2,3.6,,7.5,8.5,N1,8,8.75,
38000151,926706,,7,5.2,,7.25,8.5,N1,7,9.75,
38000153,919641,,5.2,6.8,,5.75,7.75,N1,8.75,9.25,
38000154,921426,8.25,8.4,5,7.25,7.5,,N1,,,7.25
38000155,928391,,5.6,5,,7,5.75,N1,5,7,
38000156,919642,,7.4,4.8,,8,8.25,N1,6,8.75,
38000157,921429,6.25,7.2,8.6,3.75,7.5,,N1,,,7.25
38000160,921396,,7.2,,,5.25,5.75,,6,,
38000163,926622,,6.2,5.4,,8.75,8.5,N1,7,8.25,
38000158,928387,,5.8,5.2,,6.75,8.25,N1,8,9.5,
38000164,921397,8,8.4,5.6,6.75,8.75,,N1,,,7.75
38000162,928388,,4.6,2.8,,6.5,5.25,N1,4.75,7.25,
38000159,914141,,4.8,4.4,,5.25,5.5,N1,4.75,8.25,
38000161,919643,,5,,,5.25,4.5,,4.25,,
38000165,925947,,6,4.8,,5.75,7.25,N1,7,8.75,
38000166,919644,,7,5,,6.5,8.25,N1,8,9.25,
38000167,926623,,7,6,,4.5,9,N1,7.75,9,
38000168,921398,,4.4,,,4,5.25,,6.25,,
38000169,919645,,2.8,,,4.25,4.25,,5,,
38000175,928394,,2.2,,,2.75,1.75,,5.25,,
38000174,919647,,4.2,5,,7,7,N1,6.75,7.25,
38000172,919646,,6.2,,,7,6.75,,5.75,,
38000170,928393,,5.2,,,5.5,5.25,,4.75,,
38000176,921399,,3.8,,,6,7.5,,6.25,,
38000173,928397,,6.6,5,,7.75,8.25,N1,7,9,
38000171,920647,4.25,7.6,5.2,3.75,5,,N1,,,5.25
38000177,919648,,6.4,5.6,,8.5,9.75,N1,9.25,9.75,
38000178,928398,,5.6,4.4,,6.75,8.5,N1,6.25,9.5,
38000179,928395,,6,3.8,,5.25,7.25,N1,5.75,8.25,
38000180,919649,,5.8,4.2,,7.25,8,N1,6.25,8.75,
38000182,919650,,6.4,5,,8.25,9.25,N1,7.25,8.5,
38000181,911807,,2.8,,,6,6.75,,5,,
38000185,919651,,2.4,,,6,4.5,,4.75,,
38000183,921427,7,7,3.2,6,8.25,,N1,,,4.25
38000186,928396,,,4.2,,6,9,N1,8,,
38000184,921400,6.25,6.8,7,6.75,8.5,,N1,,,5
38000187,928392,,6.4,,,5.25,8,,7.25,,
38000188,919652,,4.2,,,5.5,6.75,,5.25,,
38000189,915374,6,6.2,6.2,5.25,6.25,,N1,,,4.5
38000190,914222,,4,,,4.75,5.5,,4.75,,
38000192,919691,,7,7.4,,7.5,8.25,N1,9,9.75,
38000197,919655,,3.8,,,4.5,4.75,,4,,
38000191,919653,,7.8,,,6.5,7.25,,8.75,,
38000193,921432,5.5,5.8,4.8,6,5.25,,N1,,,4.25
38000195,914142,,7,4.6,,6.5,9,N1,6.75,8,
38000196,921401,8,7.4,6.8,6.75,9,,N1,,,7
38000194,919654,,5,,,6,6,,3.75,,
38000198,926624,4.75,6,3.2,5.5,5.75,,N1,,,5.25
38000199,921435,6.5,8.4,5,9.5,6.5,,N1,,,7.25
38000200,921402,,6.4,,,5.75,6.5,,6.5,,
38000202,919656,,5.2,,,5,4.5,,6,,
38000206,928399,,3,,,3.25,4.25,,5.5,,
38000204,921403,,5.8,4,,5.33,6.75,N1,5.5,8.25,
38000203,920648,,5.6,4,,8,9.5,N1,8.75,8.5,
38000205,919688,,4.4,,,3,6.75,,6.25,,
38000207,919657,,3.4,,,4,5.5,,3,,
38000208,921404,8,6.4,5.2,7.75,8.25,,N1,,,8
38000201,924125,,2.8,,,4.17,6.25,,6,,
38000209,914223,,2.6,,,4,4,,5.5,,
38000210,919692,,6,3.6,,6,6,N1,5.75,8.25,
38000212,919689,,4.4,,,4,6,,,,
38000215,919658,,4.4,,,4.75,5,,3.5,,
38000214,926625,,7.2,6,,8,8.25,N1,6.5,8.25,
38000211,921433,8.5,8.4,5.6,8,8.5,,N1,,,6.75
38000213,914102,6.5,7,7.2,6.75,6,,N1,,,7.25
38000219,924126,,5.6,4.6,,8.5,8.5,N1,7.25,9,
38000217,921405,7.25,8.2,4.8,6.75,6.42,,N1,,,5.75
38000216,914234,,2.4,,,3.5,5.5,,5.75,,
38000218,921436,4.25,6.4,6.8,3.25,8.25,,N4,,,5
38000220,919659,,4.6,,,5.5,5.75,,4.25,,
38000221,921406,6.75,6.2,5.2,4,7,,N1,,,7
38000222,915348,,6.4,4.6,,6,7.75,N1,7,7.5,
38000223,919660,,5.6,,,5.25,6.75,,5.5,,
38000226,914235,,4.8,,,3.75,4.75,,3.75,,
38000225,919693,,6.2,6.2,,8,7,N1,8.25,8.5,
38000227,919694,,2.4,,,1.75,6,,3.75,,
38000224,919690,,7.8,,,7,7,,6.5,,
38000229,919698,,6.4,7.2,,9,8.25,N1,8.75,9.25,
38000230,914182,,7.2,2.8,,5.75,8.5,N1,7.5,8.75,
38000228,919661,,7.2,8.6,,5,8,N1,9.25,9.25,
38000231,919662,,2.2,,,3.5,5.25,,3,,
38000232,919695,,1.4,,,2.75,4,,3.25,,
38000233,921407,6.75,6.2,5.2,7,8.5,,N1,,,5
38000234,914236,,5.6,,,2.75,5,,4.5,,
38000240,921434,7.25,6.4,4,6.75,6,,N1,,,3.25
38000235,919699,,4.8,,,5.75,4.5,,3.75,,
38000237,921408,,6,,,4.25,6.25,,6,,
38000239,914103,4.5,7.8,4,3.75,6.75,,N1,,,3.5
38000236,919663,,5.4,,,7,5.75,,4.75,,
38000238,919696,,6,5.2,,8,8.75,N1,7.75,9.25,
38000242,919700,,6.8,,,5.75,7.5,,6.75,,
38000241,919664,4.25,7.6,6.4,8,7.33,,N1,,,5.25
38000243,924127,,4.2,,,3,4.25,,2.75,,
38000244,919665,,3.6,,,2,3.75,,3,,
38000249,919666,,5,6.2,,7.75,8.5,N1,7.5,9.75,
38000246,921409,5.5,6.4,5.6,7,6.5,,N1,,,7
38000245,911808,,3.6,,,,3.75,,5.25,,
38000248,914104,7.25,8,4.4,7.5,6.75,,N1,,,8.75
38000247,929434,,2.4,,,3.25,5.5,,5.5,,
38000253,926626,,6,5,,6.25,6.5,N1,7.5,7.5,
38000252,919697,,4.2,,,6.25,6.25,,4,,
38000251,921442,9,8.2,9.2,9.25,8.5,,N1,,,3.25
38000250,921410,,4,,,4.75,6,,4.25,,
38000254,919667,,4.2,,,5.75,7.75,,4.75,,
38000255,914237,,4.4,,,6.25,5.75,,5,,
38000256,921438,4.75,6.4,7,4.25,5,,N1,,,7
38000261,919702,,4,,,6.25,3,,3.25,,
38000258,919701,,6,,,5.75,6,,4.75,,
38000257,919668,,5,,,5.5,5.25,,4.25,,
38000259,921356,,5.2,6.4,,8.5,9,N1,8.75,9,
38000263,921357,,7,5.8,,9.5,9.25,N1,9.25,9.75,
38000264,914238,,4.2,,,6,5.25,,4.75,,
38000262,919669,,5.8,5.2,,8,8.75,N1,7.25,8.25,
38000260,929435,,6.2,5.2,,7.25,8.75,N1,6.75,9.25,
38000265,919670,6.25,7.4,5,7.75,8.75,,N1,,,8
38000266,924128,,4.8,,,5,6.75,,5.75,,
38000268,911859,,3.4,,,4.25,5.75,,3.75,,
38000273,914183,,4.6,2.8,,6,5,N1,6.5,8.25,
38000267,919703,,6,5,,7.25,6.75,N1,6.5,7.75,
38000272,920649,7,6.4,5.2,6.75,6.75,,N1,,,6.25
38000274,921353,,4.4,,,6.5,6.25,,5.5,,
38000269,921358,,,,,9.25,8.5,,8.25,,
38000271,919671,,6.6,8.2,,9.5,8.75,N1,8.25,8.25,
38000275,921437,5.5,8.2,7.4,5.5,5.75,,N1,,,7.25
38000270,921439,6.5,8,9.2,5,9.75,,N1,,,6.25
38000276,919672,,3.6,,,4.25,4,,4,,
38000277,921411,,6.4,4.8,,8,9.25,N1,8.5,8.5,
38000280,921354,,5.4,,,7.75,7.5,,8,,
38000278,921440,6,6.2,3.6,4.25,6.08,,N1,,,3.75
38000279,919673,5,6.2,6,2.25,6.5,,N1,,,2.75
38000281,911860,,7.2,,,6.75,6.25,,4,,
38000282,924953,5.75,7.4,3.8,5.75,6.66,,N1,,,4.5
38000283,921441,7.75,8.2,5,7.5,9,,N1,,,7.5
38000285,921359,,6,5,,7,8.75,N1,6.75,8.75,
38000284,919674,6.75,7.6,5.6,6.25,8.25,,N1,,,6.5
38000286,924954,,3.2,,,3.75,4.25,,5.5,,
38000287,929436,,6.8,5.4,,6.25,7,N1,7,8.75,
38000288,921355,,2.8,,,2.25,3.25,,3.75,,
38000289,919675,7.5,7.6,3.6,6.5,7.75,,N1,,,5.25
38000291,924129,,5.2,3.4,,5.5,7.5,N1,4.75,8,
38000296,915885,,7.6,7,,8.25,6.5,N1,6,6.75,
38000297,921444,,3.8,3.6,,3.25,4.5,N1,5.5,5.25,
38000290,921412,,3.2,3.8,,7.5,8.5,N1,8.5,9,
38000293,921443,,4.8,2.2,,5.5,6.25,N1,5.25,5.75,
38000292,924946,5,7.6,3.4,6.5,4.75,,N1,,,6.5
38000294,928368,,6,3.4,,4.75,4.75,N1,5.5,8.25,
38000295,924947,7.25,7,3.6,5.25,5.5,,N1,,,4
38000298,928471,6,5.4,4.8,5.5,5.75,,N1,,,1.75
38000299,928474,4.75,5.2,2.6,4.75,2.75,,N1,,,3.5
38000305,921446,,6.2,5.4,,6.25,6.5,N1,5,8,
38000302,921445,4.75,8.4,7.8,4,6.25,,N1,,,8.25
38000303,924949,,6.4,3,,5,4,N1,4.5,7,
38000301,915886,,5.4,4,,5.5,5,N1,2.75,6.5,
38000309,924859,,5.6,3.8,,5.5,5.75,N1,4.25,6.5,
38000300,924948,,5.4,5.4,,7.75,7.5,N1,6,8,
38000307,928369,,5.6,5.2,,6.75,7.5,N1,8.25,8,
38000308,924950,5.75,7.4,5.2,6.75,5.5,,N1,,,6
38000304,928472,6.75,8.6,5.2,4.5,5.25,,N1,,,7.5
38000306,928366,,4.8,4.6,,5.75,3.25,N1,2.75,6.75,
38000310,914247,,,,,8.25,9.5,,8.75,,
38000311,921447,4.75,7.6,5.6,6.75,7,,N1,,,7
38000316,928473,6,6.8,3.2,4,5.75,,N1,,,4.75
38000318,921449,4.25,6.8,5.8,2.5,6,,N1,,,7.5
38000313,924860,4,6.6,2.6,5.25,6.5,,N1,,,4.5
38000317,924861,4.5,4.2,4.6,6.25,6.5,,N1,,,4
38000314,921448,,6.8,3.8,,5.5,7,N1,5.25,8.5,
38000319,924951,,5.8,5,,5.5,8,N1,7.75,8.25,
38000312,914105,4.75,8.4,5,6,5.5,,N1,,,3.5
38000315,928367,,3,3.4,,3.66,6.25,N1,5.25,6,
38000320,915887,,3.8,3.6,,5.75,5.5,N1,6.75,5.75,
38000321,921450,,5.4,2.4,,4.5,4.5,N1,4,6.25,
38000323,924952,,4.8,4,,5.75,5,N1,5.25,6,
38000325,924862,5.5,7.6,4.4,4.5,6.75,,N1,,,4.5
38000326,921452,,4.6,2.6,,5.5,6.25,N1,7,6.75,
38000324,921451,6.75,6.2,3.8,4.25,6.5,,N1,,,6
38000322,915888,,5,5.8,,6,,N1,,,
38000329,921453,,5.6,5,,7,6.25,N1,5.25,7,
38000330,915889,,7.6,6.8,,7.75,,N1,,,
38000327,924863,,5.8,4.4,,6.25,5.75,N1,4.75,6.75,
38000331,921454,,7,4.2,,6,7,N1,4.75,8.5,
38000328,924864,,5.6,3,,3.75,6.25,N1,6,7.25,
38000332,918878,,3.8,2.2,,5.42,5.5,N1,3.75,6,
38000333,924865,5.75,4.6,4.8,3.25,5,,N1,,,4
38000334,928400,,,4.4,,6.25,9.75,N1,7.5,,
38000340,921457,,6,5.8,,8,7.25,N1,7.25,8.25,
38000337,924866,,5.6,5.2,,6,6.75,N1,5.75,8.25,
38000335,921455,,5.6,5.8,,6,7.5,N1,5.5,7.25,
38000336,915349,,6.2,3.6,,3.25,6.75,N1,6.75,7.25,
38000342,924958,4.25,6.8,4.6,6.5,7.5,,N1,,,6
38000338,921456,5.25,6.4,3.4,4.75,6.5,,N1,,,4.5
38000341,924867,,5.8,4.8,,6.5,7,N1,7.25,7.75,
38000339,928401,,4.8,3.4,,7,6.25,N1,4.25,6.75,
38000343,928402,,3.4,3.6,,5,4.25,N1,3.75,5.75,
38000344,921458,,7,6.6,,6,7.25,N1,7.25,7.5,
38000346,928404,,3.8,3.8,,4.25,4,N1,4.25,5.5,
38000347,921459,4.75,5.8,3.4,4.75,5.25,,N1,,,3.75
38000345,924868,5.75,7.8,4.8,9,6.5,,N1,,,7.5
38000351,926603,5.75,6.8,3,3,5,,N1,,,4.75
38000348,927612,,6.2,4.4,,4.5,7.25,N1,5.5,7.25,
38000353,924870,,6.4,5.4,,5.25,8.25,N1,7,7.25,
38000352,921460,,5,2.4,,5,6,N1,6.75,7.5,
38000354,931910,5.25,7.2,5,4.25,6,,N1,,,4.5
38000349,924869,5.75,7.2,5.8,4.5,5.5,,N1,,,5.25
38000350,928405,,5.6,4.6,,4,7.75,N1,7.25,7,
38000355,926604,2.75,6.2,4.8,4.75,4,,N1,,,3.5
38000356,928475,4,8,3.6,5,5,,N1,,,5.25
38000357,921461,,7.6,3,,4.5,5.75,N1,6.25,8,
38000362,915922,,4.8,3,,7,6.5,N1,5.25,8.25,
38000363,926606,5.5,6.8,4,6.5,4,,N1,,,3.25
38000360,921462,,6.4,6.6,,7,7,N1,5.25,7.5,
38000358,926605,,5.4,5.4,,5.75,6,N1,6.25,7.25,
38000365,921463,5,6.4,6,5.5,4.25,,N1,,,3.75
38000364,932973,6.75,8,8.8,5.75,7,,N1,,,7.75
38000359,928407,,5.6,5,,5.75,6.75,N1,5.25,7,
38000361,924871,5.25,7.2,4,5.75,4.75,,N1,,,5.5
38000366,928406,,8.4,7.2,,7.5,7.5,N1,6.5,8.5,
38000367,928403,,5.4,4,,6,6.75,N1,7,7.75,
38000373,915923,,3.6,3.8,,2.5,4,N1,4.5,5.5,
38000375,918880,5.25,7.8,3,7.75,4.5,,N1,,,8.25
38000376,921465,6.5,8.8,5.8,8.5,6.25,,N1,,,8.5
38000371,921464,6.25,7.8,5.4,7.75,4.5,,N1,,,6.25
38000372,927613,,5.8,1.6,,5.33,7.75,N1,6.5,7.5,
38000374,923126,,6,3,,2.75,6.75,N1,4,6.5,
38000377,914146,6.75,4.8,,4,,,,,,
38000369,930130,5,8.2,7.2,4,5.5,,N1,,,4.25
38000370,918879,3.5,4.8,3,4.25,5.75,,N1,,,4
38000378,928408,,5.8,2.4,,4.75,5.75,N1,1.75,4.25,
38000380,914279,,,,,2.5,6,,5,,
38000379,924872,,,4.2,,6.75,9.25,N1,9.25,,
38000384,930131,6.25,8,3.4,6.25,2.75,,N1,,,4
38000385,923110,4.75,6,4,4.75,5.25,,N1,,,3.5
38000387,924874,2.25,2.8,2.2,3,1.5,,N1,,,1.5
38000381,915924,,3.4,2.6,,4.5,5.25,N1,5,5.25,
38000386,923133,,3.6,2.8,,3.75,6.25,N1,4.75,5,
38000388,915925,,5.2,4.4,,5,6.75,N1,4.75,8.5,
38000382,923127,,6,5.4,,4.5,6.75,N1,6,7.75,
38000383,924873,,7.2,5.2,,7.75,,N1,,,
38000391,923128,,7.4,5.2,,7.75,8.75,N1,9,9.25,
38000395,924875,,5.6,5,,6.75,5.25,N1,4.75,8.25,
38000389,930132,4,7.8,4.2,4.5,4.5,,N1,,,6.5
38000390,923111,6,7.6,5.2,8,5.5,,N1,,,8.5
38000396,926607,5.25,5.2,4.2,3.25,5,,N1,,,5.5
38000394,923129,,5.2,5.2,,6.67,6.25,N1,6.25,6.75,
38000398,923113,,3.6,2,,4.5,7,N1,4.5,5.5,
38000393,923112,,5.4,4.8,,8.25,8.25,N1,8.75,9.25,
38000392,928409,,4.8,4.8,,6,4,N1,6.5,6.75,
38000397,923130,,7.4,4.6,,6.67,8,N1,7.5,7.5,
38000399,923134,,3.8,5.6,,7,8.25,N1,9.5,8.25,
38000404,926608,,5.6,6.8,,6.25,7.25,N1,6.75,7.75,
38000406,923115,4.75,7,3.8,6,5.25,,N1,,,6.5
38000400,930133,4,8.6,5.8,8,6.75,,N1,,,7.5
38000403,923114,7,8.6,3.8,7.5,6.75,,N1,,,6.75
38000402,918902,5.25,6.6,5.8,7.75,5.25,,N1,,,6
38000401,923124,,7.4,5.6,,7.25,7.5,N1,7.75,8.75,
38000405,910127,,6,4,,6.25,7.5,N1,6.5,8,
38000408,923125,,8.8,7.4,,8,7,N1,6.75,9.25,
38000407,923131,,7.2,5.8,,6.25,8,N1,5.5,8.5,
38000409,923132,,6.2,5.2,,5.75,5.75,N1,7,8,
38000410,915403,,4.4,4,,5.5,4.75,N1,6.5,7.75,
38000414,926681,,6.4,3.6,,6.25,5.5,N1,6.5,7.5,
38000415,923140,,7.2,6.6,,7.75,6.5,N1,5,6.25,
38000418,910128,5.5,7.4,4,3.25,4,,N1,,,6.5
38000419,923118,,2,3.2,,3.25,5,N1,4.75,6,
38000416,923117,,6,4.4,,5,5.25,N1,4,6.75,
38000413,923135,,3.8,4.8,,5.75,6,N1,3,6.5,
38000417,926610,6.75,5.2,4.8,5.75,7,,N1,,,4.25
38000411,923116,5.25,8.6,5,8.5,6,,N1,,,8.5
38000412,926609,,5.6,4.6,,7.25,7,N1,5.25,7.5,
38000420,926611,5.25,7.8,5.4,3.75,7.5,,N1,,,7.5
38000422,910129,,4.6,3.6,,5.25,7,N1,7.75,8.5,
38000421,918881,5.75,8.2,4.2,4,5,,N1,,,4.5
38000424,923119,,7.2,5.6,,7.75,9,N1,9,8.5,
38000425,926612,,5.2,4.2,,6,5.5,N1,7,7,
38000427,924877,5.25,9,8.8,4.75,6.25,,N1,,,9.25
38000423,924876,,4.4,3.6,,4.5,4.75,N1,4.75,4,
38000429,923120,4,5.8,3,3.75,5.25,,N1,,,3
38000426,923136,,5.4,3.4,,5.5,6,N1,4.75,7.25,
38000428,927681,,5,2.6,,4.5,7.5,N1,5.5,8.25,
38000430,913669,,7.4,4.6,,6,6.75,N1,6,7,
38000431,924878,6,8,6.6,7.25,6,,N1,,,5
38000432,923121,4.75,6.8,5.2,5,6.25,,N1,,,2.25
38000433,926613,4.75,7.6,2.6,6.75,4.75,,N1,,,3.5
38000436,930134,4.5,7.8,3.2,6.25,3,,N1,,,8
38000438,926614,5.25,6.6,4.6,3.5,5,,N1,,,4
38000435,924879,4.75,7,4.6,7.25,5,,N1,,,8.5
